old_code,old_naam,new_code,new_naam,pct_retained,n_new_touched,n_old_mapping_here,change_type
BU05130300,Boerhaavekwartier,BU05130300,Boerhaavekwartier,89.2,8,1,split
BU05130301,Windrooskwartier en Heesterbuurt,BU05130301,Windrooskwartier en Heesterbuurt,96.3,4,2,merged
BU05130302,Groenhovenkwartier,BU05130302,Groenhovenkwartier,97.7,3,1,split
BU05130303,Bloemendaalseweg,BU05130301,Windrooskwartier en Heesterbuurt,32.3,8,2,merged
BU05130304,De Goudse Poort,BU05130304,De Goudse Poort,86.3,6,1,split
BU05130305,De Gaardenbuurt,BU05130305,Gaardenbuurt,94.6,4,1,split
BU05130400,Hoef- en Veldbuurt,BU05130400,Hoef- en Veldbuurt,43.7,5,1,split
BU05130401,Zomenbuurt,BU05130401,Zomenbuurt,59.4,5,1,split
BU05130402,Hoevenbuurt,BU05130403,"Lusten-, Burgen- en Steinenbuurt",47.9,5,1,split
BU05130403,"Lusten-, Burgen- en Steinenbuurt",BU05130407,Wervenbuurt,35.2,4,2,merged
BU05130404,Grassen- en Waterbuurt,BU05130404,Grassen- Waterbuurt,96.5,4,1,split
BU05130405,Bodegraafsestraatweg,BU05130405,Bodegraafsestraatweg,71.8,4,1,split
BU05130406,Mammoet,BU05130406,De Mammoet,99.9,2,1,unchanged
BU05130407,Wervenbuurt,BU05130407,Wervenbuurt,99.8,2,2,unchanged
BU05130500,Ouwe Gouwe,BU05130500,Ouwe Gouwe,98.0,3,2,merged
BU05130501,Statensingel,BU05130500,Ouwe Gouwe,80.3,3,2,merged
BU05130502,Wethouder Venteweg,BU05130504,Slagenbuurt,47.9,5,2,merged
BU05130503,Achterwillenseweg,BU05130503,Achterwillenseweg,69.9,8,1,split
BU05130504,Slagenbuurt,BU05130504,Slagenbuurt,56.5,2,2,merged
BU05130509,De Goudse Hout,BU05130509,De Goudse Hout,80.1,3,1,split
BU05130600,Oosterwei,BU05130600,Oosterwei,96.5,4,1,split
BU05130601,Vreewijk,BU05130601,Vreewijk,97.4,5,1,split
BU05130602,Voorwillenseweg,BU05130602,Voorwillenseweg,95.0,6,1,split
BU05130603,Kadenbuurt,BU05130603,Kadenbuurt,94.0,8,1,split
BU05130604,Kort Haarlem,BU05130604,Kort Haarlem,90.6,6,1,split
BU05130700,Sportbuurt,BU05130700,Sportbuurt,49.9,6,1,split
BU05130701,Molenbuurt,BU05130701,Molenbuurt,78.9,5,1,split
BU05130702,Polderbuurt,BU05130702,Polderbuurt,96.0,4,1,split
BU05130703,Vrijheidsbuurt,BU05130703,Vrijheidsbuurt,89.7,3,1,split
BU05130704,Componistenbuurt,BU05130704,Componistenbuurt,99.7,2,1,unchanged
BU05130705,Muziekbuurt,BU05130705,Muziekbuurt,61.9,4,1,split
BU05130800,Stolwijkersluis-Oost,BU05130800,Stolwijkersluis Oost,95.1,6,1,split
BU05130809,Stolwijkersluis-West,BU05130809,Stolwijkersluis West,98.5,5,1,split
BU05130900,Gouwestroom,BU05130900,Gouwestroom,94.8,6,1,split
BU05130901,Ringvaartbocht,BU05130901,Ringvaartbocht,95.9,2,1,split
BU05130909,Oostpolder in Schieland,BU05130902,Oostpolder in Schieland,38.2,10,1,split
BU05180170,Oostduinen,BU05180170,Oostduinen,100.0,1,1,unchanged
BU05180271,Belgisch Park,BU05180271,Belgisch Park,99.8,3,1,unchanged
BU05180373,Westbroekpark,BU05180373,Westbroekpark,100.0,2,1,unchanged
BU05180374,Duttendel,BU05180374,Duttendel,100.0,2,1,unchanged
BU05180448,Nassaubuurt,BU05180448,Nassaubuurt,100.0,2,1,unchanged
BU05180475,Uilennest,BU05180475,Uilennest,100.0,1,1,unchanged
BU05180476,Duinzigt,BU05180476,Duinzigt,100.0,1,1,unchanged
BU05180477,Waalsdorp,BU05180477,Waalsdorp,100.0,2,1,unchanged
BU05180478,Arendsdorp,BU05180478,Arendsdorp,100.0,1,1,unchanged
BU05180479,Van Hoytemastraat en omgeving,BU05180479,Van Hoytemastraat e.o.,100.0,2,1,unchanged
BU05180546,Archipelbuurt,BU05180546,Archipelbuurt,100.0,3,1,unchanged
BU05180605,Van Stolkpark en Scheveningse Bosjes,BU05180605,Van Stolkpark en Scheveningse Bosjes,100.0,1,1,unchanged
BU05180701,Oud Scheveningen,BU05180701,Oud Scheveningen,100.0,4,1,unchanged
BU05180702,Vissershaven,BU05180702,Vissershaven,100.0,4,1,unchanged
BU05180703,Scheveningen Badplaats,BU05180703,Scheveningen Badplaats,99.8,5,1,unchanged
BU05180704,Visserijbuurt,BU05180704,Visserijbuurt,100.0,5,1,unchanged
BU05180772,Rijslag,BU05180772,Rijslag,100.0,2,1,unchanged
BU05180800,Duindorp,BU05180800,Duindorp,99.9,2,1,unchanged
BU05180907,Statenkwartier,BU05180907,Statenkwartier,100.0,3,1,unchanged
BU05180908,Geuzenkwartier,BU05180908,Geuzenkwartier,100.0,2,1,unchanged
BU05181041,Zorgvliet,BU05181041,Zorgvliet,100.0,1,1,unchanged
BU05181142,Stadhoudersplantsoen,BU05181142,Stadhoudersplantsoen,100.0,3,1,unchanged
BU05181143,Sweelinckplein en omgeving,BU05181143,Sweelinckplein e.o.,100.0,1,1,unchanged
BU05181250,Bloemenbuurt-West,BU05181250,Bloemenbuurt-West,100.0,2,1,unchanged
BU05181251,Bloemenbuurt-Oost,BU05181251,Bloemenbuurt-Oost,100.0,3,1,unchanged
BU05181252,Bomenbuurt,BU05181252,Bomenbuurt,100.0,1,1,unchanged
BU05181309,Vogelwijk,BU05181309,Vogelwijk,99.9,4,1,unchanged
BU05181481,Bosjes van Pex,BU05181481,Bosjes van Pex,100.0,1,1,unchanged
BU05181492,Bohemen en Meer en Bos,BU05181492,Bohemen en Meer en Bos,100.0,1,1,unchanged
BU05181590,Ockenburgh,BU05181590,Ockenburgh,100.0,3,1,unchanged
BU05181591,Kijkduin,BU05181591,Kijkduin,99.4,2,1,unchanged
BU05181697,Kraayenstein,BU05181697,Kraayenstein en Vroondaal,100.0,1,1,unchanged
